,Availability,region,year,policy,agg.land,value
63846,100 percent,Global,2020,CORE,Biomass,0
63847,20 percent,Global,2020,CORE,Biomass,0
63848,30 percent,Global,2020,CORE,Biomass,0
63849,40 percent,Global,2020,CORE,Biomass,0
63850,50 percent,Global,2020,CORE,Biomass,0
63851,60 percent,Global,2020,CORE,Biomass,0
63852,70 percent,Global,2020,CORE,Biomass,0
63853,80 percent,Global,2020,CORE,Biomass,0
63854,90 percent,Global,2020,CORE,Biomass,0
63855,High Availability,Global,2020,CORE,Biomass,0
63856,Low Availability,Global,2020,CORE,Biomass,0
63857,0 percent,Global,2025,CORE,Biomass,320.1965841
63858,10 percent,Global,2025,CORE,Biomass,402.1368616
63859,100 percent,Global,2025,CORE,Biomass,620.7153922
63860,20 percent,Global,2025,CORE,Biomass,443.7440974
63861,30 percent,Global,2025,CORE,Biomass,475.8599645
63862,40 percent,Global,2025,CORE,Biomass,502.7261034
63863,50 percent,Global,2025,CORE,Biomass,526.5453616
63864,60 percent,Global,2025,CORE,Biomass,548.1841672
63865,70 percent,Global,2025,CORE,Biomass,568.1338872
63866,80 percent,Global,2025,CORE,Biomass,586.7189805
63867,90 percent,Global,2025,CORE,Biomass,604.1992982
63868,High Availability,Global,2025,CORE,Biomass,540.5683721
63869,Low Availability,Global,2025,CORE,Biomass,528.3940658
63870,0 percent,Global,2030,CORE,Biomass,485.8638192
63871,10 percent,Global,2030,CORE,Biomass,637.6733333
63872,100 percent,Global,2030,CORE,Biomass,964.6435213
63873,20 percent,Global,2030,CORE,Biomass,710.1986663
63874,30 percent,Global,2030,CORE,Biomass,761.7050754
63875,40 percent,Global,2030,CORE,Biomass,803.28242
63876,50 percent,Global,2030,CORE,Biomass,838.0082546
63877,60 percent,Global,2030,CORE,Biomass,867.9675242
63878,70 percent,Global,2030,CORE,Biomass,895.1039579
63879,80 percent,Global,2030,CORE,Biomass,920.031095
63880,90 percent,Global,2030,CORE,Biomass,943.1500452
63881,High Availability,Global,2030,CORE,Biomass,869.2745012
63882,Low Availability,Global,2030,CORE,Biomass,852.4652219
63883,0 percent,Global,2035,CORE,Biomass,632.2996295
63884,10 percent,Global,2035,CORE,Biomass,862.1585034
63885,100 percent,Global,2035,CORE,Biomass,1307.290369
63886,20 percent,Global,2035,CORE,Biomass,969.7781098
63887,30 percent,Global,2035,CORE,Biomass,1041.275028
63888,40 percent,Global,2035,CORE,Biomass,1096.972227
63889,50 percent,Global,2035,CORE,Biomass,1142.959719
63890,60 percent,Global,2035,CORE,Biomass,1183.040476
63891,70 percent,Global,2035,CORE,Biomass,1218.865683
63892,80 percent,Global,2035,CORE,Biomass,1250.983472
63893,90 percent,Global,2035,CORE,Biomass,1280.217901
63894,High Availability,Global,2035,CORE,Biomass,1199.833563
63895,Low Availability,Global,2035,CORE,Biomass,1178.312905
63896,0 percent,Global,2040,CORE,Biomass,680.0485748
63897,10 percent,Global,2040,CORE,Biomass,963.2350274
63898,100 percent,Global,2040,CORE,Biomass,1542.208951
63899,20 percent,Global,2040,CORE,Biomass,1099.946969
63900,30 percent,Global,2040,CORE,Biomass,1193.573167
63901,40 percent,Global,2040,CORE,Biomass,1266.895829
63902,50 percent,Global,2040,CORE,Biomass,1327.106386
63903,60 percent,Global,2040,CORE,Biomass,1379.114158
63904,70 percent,Global,2040,CORE,Biomass,1425.458038
63905,80 percent,Global,2040,CORE,Biomass,1467.531444
63906,90 percent,Global,2040,CORE,Biomass,1506.242837
63907,High Availability,Global,2040,CORE,Biomass,1394.906913
63908,Low Availability,Global,2040,CORE,Biomass,1367.465902
63909,0 percent,Global,2045,CORE,Biomass,748.8833719
63910,10 percent,Global,2045,CORE,Biomass,1103.319547
63911,100 percent,Global,2045,CORE,Biomass,1833.605851
63912,20 percent,Global,2045,CORE,Biomass,1270.575043
63913,30 percent,Global,2045,CORE,Biomass,1386.142486
63914,40 percent,Global,2045,CORE,Biomass,1477.921315
63915,50 percent,Global,2045,CORE,Biomass,1556.081569
63916,60 percent,Global,2045,CORE,Biomass,1624.103778
63917,70 percent,Global,2045,CORE,Biomass,1684.577405
63918,80 percent,Global,2045,CORE,Biomass,1738.885647
63919,90 percent,Global,2045,CORE,Biomass,1788.114224
63920,High Availability,Global,2045,CORE,Biomass,1638.045217
63921,Low Availability,Global,2045,CORE,Biomass,1603.40163
63922,0 percent,Global,2050,CORE,Biomass,863.1177967
63923,10 percent,Global,2050,CORE,Biomass,1248.829843
63924,100 percent,Global,2050,CORE,Biomass,2125.278669
63925,20 percent,Global,2050,CORE,Biomass,1452.357334
63926,30 percent,Global,2050,CORE,Biomass,1592.439687
63927,40 percent,Global,2050,CORE,Biomass,1700.828204
63928,50 percent,Global,2050,CORE,Biomass,1793.743604
63929,60 percent,Global,2050,CORE,Biomass,1874.100877
63930,70 percent,Global,2050,CORE,Biomass,1945.442193
63931,80 percent,Global,2050,CORE,Biomass,2010.124013
63932,90 percent,Global,2050,CORE,Biomass,2069.749475
63933,High Availability,Global,2050,CORE,Biomass,1894.035992
63934,Low Availability,Global,2050,CORE,Biomass,1853.106963
63935,0 percent,Global,2055,CORE,Biomass,903.0183051
63936,10 percent,Global,2055,CORE,Biomass,1343.396781
63937,100 percent,Global,2055,CORE,Biomass,2329.037224
63938,20 percent,Global,2055,CORE,Biomass,1569.46637
63939,30 percent,Global,2055,CORE,Biomass,1728.34684
63940,40 percent,Global,2055,CORE,Biomass,1850.630551
63941,50 percent,Global,2055,CORE,Biomass,1951.213871
63942,60 percent,Global,2055,CORE,Biomass,2041.868369
63943,70 percent,Global,2055,CORE,Biomass,2122.484076
63944,80 percent,Global,2055,CORE,Biomass,2197.187277
63945,90 percent,Global,2055,CORE,Biomass,2265.807746
63946,High Availability,Global,2055,CORE,Biomass,2068.877898
63947,Low Availability,Global,2055,CORE,Biomass,2024.732345
63948,0 percent,Global,2060,CORE,Biomass,891.1495136
63949,10 percent,Global,2060,CORE,Biomass,1377.8487
63950,100 percent,Global,2060,CORE,Biomass,2442.585514
63951,20 percent,Global,2060,CORE,Biomass,1619.357147
63952,30 percent,Global,2060,CORE,Biomass,1796.13082
63953,40 percent,Global,2060,CORE,Biomass,1932.609287
63954,50 percent,Global,2060,CORE,Biomass,2044.055942
63955,60 percent,Global,2060,CORE,Biomass,2139.413508
63956,70 percent,Global,2060,CORE,Biomass,2223.700732
63957,80 percent,Global,2060,CORE,Biomass,2301.81032
63958,90 percent,Global,2060,CORE,Biomass,2374.889005
63959,High Availability,Global,2060,CORE,Biomass,2170.353377
63960,Low Availability,Global,2060,CORE,Biomass,2122.170054
63961,0 percent,Global,2065,CORE,Biomass,865.764188
63962,10 percent,Global,2065,CORE,Biomass,1381.829905
63963,100 percent,Global,2065,CORE,Biomass,2518.406543
63964,20 percent,Global,2065,CORE,Biomass,1644.379269
63965,30 percent,Global,2065,CORE,Biomass,1829.871137
63966,40 percent,Global,2065,CORE,Biomass,1977.843708
63967,50 percent,Global,2065,CORE,Biomass,2098.119907
63968,60 percent,Global,2065,CORE,Biomass,2201.096042
63969,70 percent,Global,2065,CORE,Biomass,2291.831695
63970,80 percent,Global,2065,CORE,Biomass,2372.837706
63971,90 percent,Global,2065,CORE,Biomass,2448.405888
63972,High Availability,Global,2065,CORE,Biomass,2232.108889
63973,Low Availability,Global,2065,CORE,Biomass,2181.036707
63974,0 percent,Global,2070,CORE,Biomass,826.8428735
63975,10 percent,Global,2070,CORE,Biomass,1352.691965
63976,100 percent,Global,2070,CORE,Biomass,2540.858055
63977,20 percent,Global,2070,CORE,Biomass,1626.49171
63978,30 percent,Global,2070,CORE,Biomass,1820.889846
63979,40 percent,Global,2070,CORE,Biomass,1976.919492
63980,50 percent,Global,2070,CORE,Biomass,2103.484427
63981,60 percent,Global,2070,CORE,Biomass,2211.278946
63982,70 percent,Global,2070,CORE,Biomass,2306.24104
63983,80 percent,Global,2070,CORE,Biomass,2390.706179
63984,90 percent,Global,2070,CORE,Biomass,2468.400943
63985,High Availability,Global,2070,CORE,Biomass,2241.449889
63986,Low Availability,Global,2070,CORE,Biomass,2188.877774
63987,0 percent,Global,2075,CORE,Biomass,785.1006064
63988,10 percent,Global,2075,CORE,Biomass,1304.098492
63989,100 percent,Global,2075,CORE,Biomass,2529.782965
63990,20 percent,Global,2075,CORE,Biomass,1586.828447
63991,30 percent,Global,2075,CORE,Biomass,1788.906318
63992,40 percent,Global,2075,CORE,Biomass,1948.703598
63993,50 percent,Global,2075,CORE,Biomass,2078.822671
63994,60 percent,Global,2075,CORE,Biomass,2189.947828
63995,70 percent,Global,2075,CORE,Biomass,2287.502495
63996,80 percent,Global,2075,CORE,Biomass,2374.443274
63997,90 percent,Global,2075,CORE,Biomass,2454.799954
63998,High Availability,Global,2075,CORE,Biomass,2219.259227
63999,Low Availability,Global,2075,CORE,Biomass,2165.299662
64000,0 percent,Global,2080,CORE,Biomass,755.7038485
64001,10 percent,Global,2080,CORE,Biomass,1261.343187
64002,100 percent,Global,2080,CORE,Biomass,2503.076709
64003,20 percent,Global,2080,CORE,Biomass,1545.334228
64004,30 percent,Global,2080,CORE,Biomass,1753.060654
64005,40 percent,Global,2080,CORE,Biomass,1914.615635
64006,50 percent,Global,2080,CORE,Biomass,2046.366527
64007,60 percent,Global,2080,CORE,Biomass,2158.600423
64008,70 percent,Global,2080,CORE,Biomass,2256.888252
64009,80 percent,Global,2080,CORE,Biomass,2344.786165
64010,90 percent,Global,2080,CORE,Biomass,2426.858861
64011,High Availability,Global,2080,CORE,Biomass,2189.742949
64012,Low Availability,Global,2080,CORE,Biomass,2135.025531
64013,0 percent,Global,2085,CORE,Biomass,726.077509
64014,10 percent,Global,2085,CORE,Biomass,1212.493004
64015,100 percent,Global,2085,CORE,Biomass,2459.399703
64016,20 percent,Global,2085,CORE,Biomass,1496.704949
64017,30 percent,Global,2085,CORE,Biomass,1705.360798
64018,40 percent,Global,2085,CORE,Biomass,1866.916093
64019,50 percent,Global,2085,CORE,Biomass,1998.991222
64020,60 percent,Global,2085,CORE,Biomass,2111.525667
64021,70 percent,Global,2085,CORE,Biomass,2209.90599
64022,80 percent,Global,2085,CORE,Biomass,2300.998598
64023,90 percent,Global,2085,CORE,Biomass,2383.70452
64024,High Availability,Global,2085,CORE,Biomass,2144.162049
64025,Low Availability,Global,2085,CORE,Biomass,2089.234993
64026,0 percent,Global,2090,CORE,Biomass,703.4834292
64027,10 percent,Global,2090,CORE,Biomass,1170.006914
64028,100 percent,Global,2090,CORE,Biomass,2409.874031
64029,20 percent,Global,2090,CORE,Biomass,1451.586795
64030,30 percent,Global,2090,CORE,Biomass,1658.024385
64031,40 percent,Global,2090,CORE,Biomass,1817.947243
64032,50 percent,Global,2090,CORE,Biomass,1948.702369
64033,60 percent,Global,2090,CORE,Biomass,2061.590269
64034,70 percent,Global,2090,CORE,Biomass,2162.150778
64035,80 percent,Global,2090,CORE,Biomass,2252.422108
64036,90 percent,Global,2090,CORE,Biomass,2334.065339
64037,High Availability,Global,2090,CORE,Biomass,2094.017393
64038,Low Availability,Global,2090,CORE,Biomass,2039.500177
64039,0 percent,Global,2095,CORE,Biomass,676.6320218
64040,10 percent,Global,2095,CORE,Biomass,1123.084242
64041,100 percent,Global,2095,CORE,Biomass,2352.607792
64042,20 percent,Global,2095,CORE,Biomass,1403.063542
64043,30 percent,Global,2095,CORE,Biomass,1605.423903
64044,40 percent,Global,2095,CORE,Biomass,1763.80002
64045,50 percent,Global,2095,CORE,Biomass,1894.365305
64046,60 percent,Global,2095,CORE,Biomass,2006.935165
64047,70 percent,Global,2095,CORE,Biomass,2106.190793
64048,80 percent,Global,2095,CORE,Biomass,2194.798901
64049,90 percent,Global,2095,CORE,Biomass,2276.844219
64050,High Availability,Global,2095,CORE,Biomass,2034.601265
64051,Low Availability,Global,2095,CORE,Biomass,1980.138486
64052,0 percent,Global,2100,CORE,Biomass,651.2077336
64053,10 percent,Global,2100,CORE,Biomass,1080.232794
64054,100 percent,Global,2100,CORE,Biomass,2281.679796
64055,20 percent,Global,2100,CORE,Biomass,1354.989848
64056,30 percent,Global,2100,CORE,Biomass,1553.49209
64057,40 percent,Global,2100,CORE,Biomass,1706.822019
64058,50 percent,Global,2100,CORE,Biomass,1834.952149
64059,60 percent,Global,2100,CORE,Biomass,1944.704202
64060,70 percent,Global,2100,CORE,Biomass,2040.919881
64061,80 percent,Global,2100,CORE,Biomass,2129.259366
64062,90 percent,Global,2100,CORE,Biomass,2209.569525
64063,High Availability,Global,2100,CORE,Biomass,1972.616711
64064,Low Availability,Global,2100,CORE,Biomass,1918.866728
64065,0 percent,Global,1975,CORE,Crops,14339.50495
64066,10 percent,Global,1975,CORE,Crops,14339.50495
64067,100 percent,Global,1975,CORE,Crops,14339.50495
64068,20 percent,Global,1975,CORE,Crops,14339.50495
64069,30 percent,Global,1975,CORE,Crops,14339.50495
64070,40 percent,Global,1975,CORE,Crops,14339.50495
64071,50 percent,Global,1975,CORE,Crops,14339.50495
64072,60 percent,Global,1975,CORE,Crops,14339.50495
64073,70 percent,Global,1975,CORE,Crops,14339.50495
64074,80 percent,Global,1975,CORE,Crops,14339.50495
64075,90 percent,Global,1975,CORE,Crops,14339.50495
64076,High Availability,Global,1975,CORE,Crops,14339.50495
64077,Low Availability,Global,1975,CORE,Crops,14339.50495
64078,0 percent,Global,1990,CORE,Crops,15123.68346
64079,10 percent,Global,1990,CORE,Crops,15123.68346
64080,100 percent,Global,1990,CORE,Crops,15123.68346
64081,20 percent,Global,1990,CORE,Crops,15123.68346
64082,30 percent,Global,1990,CORE,Crops,15123.68346
64083,40 percent,Global,1990,CORE,Crops,15123.68346
64084,50 percent,Global,1990,CORE,Crops,15123.68346
64085,60 percent,Global,1990,CORE,Crops,15123.68346
64086,70 percent,Global,1990,CORE,Crops,15123.68346
64087,80 percent,Global,1990,CORE,Crops,15123.68346
64088,90 percent,Global,1990,CORE,Crops,15123.68346
64089,High Availability,Global,1990,CORE,Crops,15123.68346
64090,Low Availability,Global,1990,CORE,Crops,15123.68346
64091,0 percent,Global,2005,CORE,Crops,15217.84364
64092,10 percent,Global,2005,CORE,Crops,15217.84364
64093,100 percent,Global,2005,CORE,Crops,15217.84364
64094,20 percent,Global,2005,CORE,Crops,15217.84364
64095,30 percent,Global,2005,CORE,Crops,15217.84364
64096,40 percent,Global,2005,CORE,Crops,15217.84364
64097,50 percent,Global,2005,CORE,Crops,15217.84364
64098,60 percent,Global,2005,CORE,Crops,15217.84364
64099,70 percent,Global,2005,CORE,Crops,15217.84364
64100,80 percent,Global,2005,CORE,Crops,15217.84364
64101,90 percent,Global,2005,CORE,Crops,15217.84364
64102,High Availability,Global,2005,CORE,Crops,15217.84364
64103,Low Availability,Global,2005,CORE,Crops,15217.84364
64104,0 percent,Global,2010,CORE,Crops,15267.52507
64105,10 percent,Global,2010,CORE,Crops,15267.52507
64106,100 percent,Global,2010,CORE,Crops,15267.52507
64107,20 percent,Global,2010,CORE,Crops,15267.52507
64108,30 percent,Global,2010,CORE,Crops,15267.52507
64109,40 percent,Global,2010,CORE,Crops,15267.52507
64110,50 percent,Global,2010,CORE,Crops,15267.52507
64111,60 percent,Global,2010,CORE,Crops,15267.52507
64112,70 percent,Global,2010,CORE,Crops,15267.52507
64113,80 percent,Global,2010,CORE,Crops,15267.52507
64114,90 percent,Global,2010,CORE,Crops,15267.52507
64115,High Availability,Global,2010,CORE,Crops,15267.52507
64116,Low Availability,Global,2010,CORE,Crops,15267.52507
64117,0 percent,Global,2015,CORE,Crops,15838.99508
64118,10 percent,Global,2015,CORE,Crops,15838.99508
64119,100 percent,Global,2015,CORE,Crops,15838.99508
64120,20 percent,Global,2015,CORE,Crops,15838.99508
64121,30 percent,Global,2015,CORE,Crops,15838.99508
64122,40 percent,Global,2015,CORE,Crops,15838.99508
64123,50 percent,Global,2015,CORE,Crops,15838.99508
64124,60 percent,Global,2015,CORE,Crops,15838.99508
64125,70 percent,Global,2015,CORE,Crops,15838.99508
64126,80 percent,Global,2015,CORE,Crops,15838.99508
64127,90 percent,Global,2015,CORE,Crops,15838.99508
64128,High Availability,Global,2015,CORE,Crops,15838.99508
64129,Low Availability,Global,2015,CORE,Crops,15838.99508
64130,0 percent,Global,2020,CORE,Crops,15639.68095
64131,10 percent,Global,2020,CORE,Crops,15946.22572
64132,100 percent,Global,2020,CORE,Crops,16160.60817
64133,20 percent,Global,2020,CORE,Crops,16026.93602
64134,30 percent,Global,2020,CORE,Crops,16068.95371
64135,40 percent,Global,2020,CORE,Crops,16095.56883
64136,50 percent,Global,2020,CORE,Crops,16114.20001
64137,60 percent,Global,2020,CORE,Crops,16128.07863
64138,70 percent,Global,2020,CORE,Crops,16138.87134
64139,80 percent,Global,2020,CORE,Crops,16147.53113
64140,90 percent,Global,2020,CORE,Crops,16154.65047
64141,High Availability,Global,2020,CORE,Crops,16150.73584
64142,Low Availability,Global,2020,CORE,Crops,16146.84621
64143,0 percent,Global,2025,CORE,Crops,15141.7091
64144,10 percent,Global,2025,CORE,Crops,15803.5879
64145,100 percent,Global,2025,CORE,Crops,16303.91842
64146,20 percent,Global,2025,CORE,Crops,15991.37207
64147,30 percent,Global,2025,CORE,Crops,16089.78505
64148,40 percent,Global,2025,CORE,Crops,16152.15959
64149,50 percent,Global,2025,CORE,Crops,16195.82521
64150,60 percent,Global,2025,CORE,Crops,16228.29155
64151,70 percent,Global,2025,CORE,Crops,16253.46343
64152,80 percent,Global,2025,CORE,Crops,16273.61428
64153,90 percent,Global,2025,CORE,Crops,16290.12907
64154,High Availability,Global,2025,CORE,Crops,16269.91345
64155,Low Availability,Global,2025,CORE,Crops,16260.74999
64156,0 percent,Global,2030,CORE,Crops,14792.52221
64157,10 percent,Global,2030,CORE,Crops,15695.51804
64158,100 percent,Global,2030,CORE,Crops,16426.55415
64159,20 percent,Global,2030,CORE,Crops,15967.18284
64160,30 percent,Global,2030,CORE,Crops,16110.83044
64161,40 percent,Global,2030,CORE,Crops,16202.28392
64162,50 percent,Global,2030,CORE,Crops,16266.50749
64163,60 percent,Global,2030,CORE,Crops,16314.4581
64164,70 percent,Global,2030,CORE,Crops,16351.70104
64165,80 percent,Global,2030,CORE,Crops,16381.54667
64166,90 percent,Global,2030,CORE,Crops,16406.05044
64167,High Availability,Global,2030,CORE,Crops,16370.18258
64168,Low Availability,Global,2030,CORE,Crops,16356.19953
64169,0 percent,Global,2035,CORE,Crops,14500.85742
64170,10 percent,Global,2035,CORE,Crops,15603.36398
64171,100 percent,Global,2035,CORE,Crops,16563.22589
64172,20 percent,Global,2035,CORE,Crops,15955.72581
64173,30 percent,Global,2035,CORE,Crops,16144.57457
64174,40 percent,Global,2035,CORE,Crops,16265.40706
64175,50 percent,Global,2035,CORE,Crops,16350.49835
64176,60 percent,Global,2035,CORE,Crops,16414.0027
64177,70 percent,Global,2035,CORE,Crops,16463.43527
64178,80 percent,Global,2035,CORE,Crops,16503.16241
64179,90 percent,Global,2035,CORE,Crops,16535.85755
64180,High Availability,Global,2035,CORE,Crops,16482.90004
64181,Low Availability,Global,2035,CORE,Crops,16463.89071
64182,0 percent,Global,2040,CORE,Crops,14318.67579
64183,10 percent,Global,2040,CORE,Crops,15586.46665
64184,100 percent,Global,2040,CORE,Crops,16762.11747
64185,20 percent,Global,2040,CORE,Crops,16014.57669
64186,30 percent,Global,2040,CORE,Crops,16246.183
64187,40 percent,Global,2040,CORE,Crops,16395.24295
64188,50 percent,Global,2040,CORE,Crops,16500.67281
64189,60 percent,Global,2040,CORE,Crops,16579.65698
64190,70 percent,Global,2040,CORE,Crops,16641.25538
64191,80 percent,Global,2040,CORE,Crops,16690.78323
64192,90 percent,Global,2040,CORE,Crops,16731.55085
64193,High Availability,Global,2040,CORE,Crops,16667.45628
64194,Low Availability,Global,2040,CORE,Crops,16642.80342
64195,0 percent,Global,2045,CORE,Crops,14152.33408
64196,10 percent,Global,2045,CORE,Crops,15564.4249
64197,100 percent,Global,2045,CORE,Crops,16987.53049
64198,20 percent,Global,2045,CORE,Crops,16075.43893
64199,30 percent,Global,2045,CORE,Crops,16355.3
64200,40 percent,Global,2045,CORE,Crops,16536.171
64201,50 percent,Global,2045,CORE,Crops,16664.01532
64202,60 percent,Global,2045,CORE,Crops,16759.98409
64203,70 percent,Global,2045,CORE,Crops,16835.11459
64204,80 percent,Global,2045,CORE,Crops,16895.6449
64205,90 percent,Global,2045,CORE,Crops,16945.55748
64206,High Availability,Global,2045,CORE,Crops,16868.55857
64207,Low Availability,Global,2045,CORE,Crops,16839.54869
64208,0 percent,Global,2050,CORE,Crops,13970.65977
64209,10 percent,Global,2050,CORE,Crops,15516.16047
64210,100 percent,Global,2050,CORE,Crops,17154.30564
64211,20 percent,Global,2050,CORE,Crops,16095.4195
64212,30 percent,Global,2050,CORE,Crops,16417.68262
64213,40 percent,Global,2050,CORE,Crops,16628.21927
64214,50 percent,Global,2050,CORE,Crops,16777.2934
64215,60 percent,Global,2050,CORE,Crops,16889.41594
64216,70 percent,Global,2050,CORE,Crops,16977.01534
64217,80 percent,Global,2050,CORE,Crops,17047.55998
64218,90 percent,Global,2050,CORE,Crops,17105.65776
64219,High Availability,Global,2050,CORE,Crops,17013.60678
64220,Low Availability,Global,2050,CORE,Crops,16979.56028
64221,0 percent,Global,2055,CORE,Crops,13905.13951
64222,10 percent,Global,2055,CORE,Crops,15551.05196
64223,100 percent,Global,2055,CORE,Crops,17430.06877
64224,20 percent,Global,2055,CORE,Crops,16205.3706
64225,30 percent,Global,2055,CORE,Crops,16574.92537
64226,40 percent,Global,2055,CORE,Crops,16818.03461
64227,50 percent,Global,2055,CORE,Crops,16991.63065
64228,60 percent,Global,2055,CORE,Crops,17121.80788
64229,70 percent,Global,2055,CORE,Crops,17223.72304
64230,80 percent,Global,2055,CORE,Crops,17305.66339
64231,90 percent,Global,2055,CORE,Crops,17373.15166
64232,High Availability,Global,2055,CORE,Crops,17270.71432
64233,Low Availability,Global,2055,CORE,Crops,17230.28359
64234,0 percent,Global,2060,CORE,Crops,13892.55516
64235,10 percent,Global,2060,CORE,Crops,15573.01487
64236,100 percent,Global,2060,CORE,Crops,17627.59162
64237,20 percent,Global,2060,CORE,Crops,16280.47497
64238,30 percent,Global,2060,CORE,Crops,16681.64036
64239,40 percent,Global,2060,CORE,Crops,16948.08652
64240,50 percent,Global,2060,CORE,Crops,17139.3543
64241,60 percent,Global,2060,CORE,Crops,17284.0462
64242,70 percent,Global,2060,CORE,Crops,17397.56718
64243,80 percent,Global,2060,CORE,Crops,17488.9486
64244,90 percent,Global,2060,CORE,Crops,17564.30428
64245,High Availability,Global,2060,CORE,Crops,17453.91073
64246,Low Availability,Global,2060,CORE,Crops,17408.52683
64247,0 percent,Global,2065,CORE,Crops,13889.95263
64248,10 percent,Global,2065,CORE,Crops,15597.37137
64249,100 percent,Global,2065,CORE,Crops,17778.21755
64250,20 percent,Global,2065,CORE,Crops,16329.35953
64251,30 percent,Global,2065,CORE,Crops,16759.74777
64252,40 percent,Global,2065,CORE,Crops,17046.20054
64253,50 percent,Global,2065,CORE,Crops,17251.50788
64254,60 percent,Global,2065,CORE,Crops,17406.9092
64255,70 percent,Global,2065,CORE,Crops,17529.05251
64256,80 percent,Global,2065,CORE,Crops,17627.96337
64257,90 percent,Global,2065,CORE,Crops,17709.60694
64258,High Availability,Global,2065,CORE,Crops,17594.32239
64259,Low Availability,Global,2065,CORE,Crops,17544.80976
64260,0 percent,Global,2070,CORE,Crops,13892.79766
64261,10 percent,Global,2070,CORE,Crops,15616.31973
64262,100 percent,Global,2070,CORE,Crops,17871.39243
64263,20 percent,Global,2070,CORE,Crops,16361.08304
64264,30 percent,Global,2070,CORE,Crops,16803.22698
64265,40 percent,Global,2070,CORE,Crops,17098.33586
64266,50 percent,Global,2070,CORE,Crops,17311.72076
64267,60 percent,Global,2070,CORE,Crops,17474.71911
64268,70 percent,Global,2070,CORE,Crops,17603.43886
64269,80 percent,Global,2070,CORE,Crops,17709.54732
64270,90 percent,Global,2070,CORE,Crops,17797.6103
64271,High Availability,Global,2070,CORE,Crops,17679.06571
64272,Low Availability,Global,2070,CORE,Crops,17625.05575
64273,0 percent,Global,2075,CORE,Crops,13898.21189
64274,10 percent,Global,2075,CORE,Crops,15630.47569
64275,100 percent,Global,2075,CORE,Crops,17934.49639
64276,20 percent,Global,2075,CORE,Crops,16384.53488
64277,30 percent,Global,2075,CORE,Crops,16834.51882
64278,40 percent,Global,2075,CORE,Crops,17138.86313
