,region,year,policy,agg.land,hist_value,Protection,value
136,Europe_Non_EU,2050,CORE,Crops,3651.132733,10,-0.230955807
137,Europe_Non_EU,2050,CORE,desert,1.71252,10,0
138,Europe_Non_EU,2050,CORE,Forests (Harvested),508.495687,10,-0.1071714
139,Europe_Non_EU,2050,CORE,Forests (Unmanaged),1733.450909,10,0.598204265
140,Europe_Non_EU,2050,CORE,Grassland,5033.965693,10,0.242236532
141,Europe_Non_EU,2050,CORE,Grazed Pasture,323.4355339,10,-0.223108477
142,Europe_Non_EU,2050,CORE,Shrubland,902.2834541,10,0.091512184
143,Europe_Non_EU,2050,CORE,urban,10.2445,10,0
144,European Free Trade Association,2050,CORE,Biomass,168.6186534,10,-5.917195315
145,European Free Trade Association,2050,CORE,Crops,158.7645426,10,-0.828182338
146,European Free Trade Association,2050,CORE,desert,184.6527865,10,0
147,European Free Trade Association,2050,CORE,Forests (Harvested),269.0015091,10,-0.369647356
148,European Free Trade Association,2050,CORE,Forests (Unmanaged),1392.359913,10,2.52220134
149,European Free Trade Association,2050,CORE,Grassland,1150.47864,10,1.205032781
150,European Free Trade Association,2050,CORE,Grazed Pasture,134.298519,10,-0.068912457
151,European Free Trade Association,2050,CORE,Shrubland,66.40881607,10,1.238913023
152,European Free Trade Association,2050,CORE,urban,3.10971322,10,0
153,Global,2050,CORE,Biomass,6127.554764,10,-2.612795871
154,Global,2050,CORE,Crops,192984.6056,10,-0.283589944
155,Global,2050,CORE,desert,21070.53344,10,0
156,Global,2050,CORE,Forests (Harvested),37367.38171,10,-0.127975483
157,Global,2050,CORE,Forests (Unmanaged),319988.8364,10,0.215924175
158,Global,2050,CORE,Grassland,590634.0966,10,0.119730356
159,Global,2050,CORE,Grazed Pasture,33220.64189,10,-0.187918405
160,Global,2050,CORE,Shrubland,140548.459,10,0.058999945
161,Global,2050,CORE,urban,575.5807629,10,0
162,India,2050,CORE,Biomass,147.918312,10,-0.895830985
163,India,2050,CORE,Crops,20631.68554,10,-0.665672125
164,India,2050,CORE,desert,131.04289,10,0
165,India,2050,CORE,Forests (Harvested),3058.672734,10,-0.409130921
166,India,2050,CORE,Forests (Unmanaged),4610.050756,10,2.32425792
167,India,2050,CORE,Grassland,4732.95147,10,1.879522851
168,India,2050,CORE,Grazed Pasture,180.2415884,10,-0.546558186
169,India,2050,CORE,Shrubland,2355.807439,10,1.311021812
170,India,2050,CORE,urban,25.30338,10,0
171,Indonesia,2050,CORE,Biomass,40.44372533,10,-1.241939395
172,Indonesia,2050,CORE,Crops,5615.69505,10,-0.221086136
173,Indonesia,2050,CORE,Forests (Harvested),858.353027,10,-0.060909226
